trick,side,task,run,passed,grade_reason,infra_error,timeout,duration_min,cost_usd,turns,input_tokens,output_tokens,cache_read_tokens,models,permission_denials,files_changed,insertions,deletions,extra,started_at
pilot-models,without,h2-eval-thresholds,1,False,FAIL h2: CLI: --threshold is not documented,,False,4.13,0.6624,76,609,22415,4283791,claude-haiku-4-5-20251001,10,18,274,3,,2026-09-15T17:30:24
pilot-models,with,h2-eval-thresholds,1,True,PASS h2,,False,5.23,1.3745,64,122,28272,4139236,claude-haiku-4-5-20251001|claude-sonnet-5,5,7,272,41,,2026-09-15T17:30:24
pilot-models,without,h3-key-store,1,False,FAIL h3: hidden Config tests fail: lab h3: saving a local key > updates the last definition when the key is defined twice;lab h3: reading a local key > single quotes keep a hash inside (see /private/tmp/100-tricks-runs/pilot-models/without/h3-key-store/r1-logs/h3-hidden.log),,False,5.31,0.5879,49,393,31706,2938319,claude-haiku-4-5-20251001,7,2,301,13,,2026-09-15T17:30:24
pilot-models,without,h1-draft-check,1,False,FAIL h1: hidden validator tests fail: lab h1: the reference draft from frai-gate draft > blocks the raw draft only because of its open NEEDS HUMAN INPUT items;lab h1: the reference draft from frai-gate draft > passes the same draft once a person has resolved every NEEDS HUMAN INPUT item (see /private/tmp/100-tricks-runs/pilot-models/without/h1-draft-check/r1-logs/h1-hidden.log),,False,5.89,0.6801,54,433,31715,3543597,claude-haiku-4-5-20251001,13,2,59,10,,2026-09-15T17:30:24
pilot-models,with,h1-draft-check,1,False,FAIL h1: existing test files changed: packages/frai-gate/src/gate/validate.test.ts,,False,7.5,1.4869,47,84,40907,3575507,claude-haiku-4-5-20251001|claude-sonnet-5,9,3,250,24,,2026-09-15T17:30:24
pilot-models,with,h3-key-store,1,True,PASS h3,,False,8.99,2.2893,99,192,41108,7677025,claude-haiku-4-5-20251001|claude-sonnet-5,18,16,144,12,,2026-09-15T17:30:24
pilot-models,without,h4-scan-llm-sdks,1,False,FAIL h4: hidden scanner tests fail: lab h4: LLM SDK detection > types.ts;lab h4: LLM SDK detection > shims.mjs (see /private/tmp/100-tricks-runs/pilot-models/without/h4-scan-llm-sdks/r1-logs/h4-hidden.log),,False,5.06,0.6801,74,593,25217,4230927,claude-haiku-4-5-20251001,5,5,190,8,,2026-09-15T17:35:49
pilot-models,with,h4-scan-llm-sdks,1,True,PASS h4,,False,6.98,1.3642,49,74,36467,3282589,claude-haiku-4-5-20251001|claude-sonnet-5,4,6,148,8,,2026-09-15T17:34:43
pilot-models,without,h1-draft-check,2,False,FAIL h1: hidden validator tests fail: lab h1: the reference draft from frai-gate draft > blocks the raw draft only because of its open NEEDS HUMAN INPUT items;lab h1: the reference draft from frai-gate draft > passes the same draft once a person has resolved every NEEDS HUMAN INPUT item (see /private/tmp/100-tricks-runs/pilot-models/without/h1-draft-check/r2-logs/h1-hidden.log),,False,5.43,0.5217,42,337,29573,2432831,claude-haiku-4-5-20251001,8,1,81,16,,2026-09-15T17:36:27
pilot-models,with,h2-eval-thresholds,2,True,PASS h2,,False,6.52,1.9087,87,154,29643,6366693,claude-haiku-4-5-20251001|claude-sonnet-5,13,8,273,6,,2026-09-15T17:38:01
pilot-models,without,h3-key-store,2,False,FAIL h3: frai-core suite has new failures (see /private/tmp/100-tricks-runs/pilot-models/without/h3-key-store/r2-logs/h3-suite.json),,False,2.89,0.3071,33,265,16223,1423415,claude-haiku-4-5-20251001,8,2,191,30,,2026-09-15T17:41:51
pilot-models,without,h2-eval-thresholds,2,False,FAIL h2: CLI: --threshold is not documented,,False,5.28,0.7054,71,569,27960,4266377,claude-haiku-4-5-20251001,15,6,211,5,,2026-09-15T17:39:34
pilot-models,with,h1-draft-check,2,True,PASS h1,,False,9.12,1.5565,46,70,50303,3266646,claude-haiku-4-5-20251001|claude-sonnet-5,9,1,119,19,,2026-09-15T17:35:52
pilot-models,with,h3-key-store,2,True,PASS h3,,False,5.94,1.3653,57,98,33689,3633869,claude-haiku-4-5-20251001|claude-sonnet-5,11,4,185,15,,2026-09-15T17:41:02
pilot-models,with,h4-scan-llm-sdks,2,True,PASS h4,,False,7.09,1.4981,68,102,40268,3974755,claude-haiku-4-5-20251001|claude-sonnet-5,11,4,231,6,,2026-09-15T17:42:03
pilot-models,without,h4-scan-llm-sdks,2,False,FAIL h4: hidden scanner tests fail: lab h4: LLM SDK detection > multiline-default.js;lab h4: LLM SDK detection > legacy.cjs (see /private/tmp/100-tricks-runs/pilot-models/without/h4-scan-llm-sdks/r2-logs/h4-hidden.log),,False,5.29,0.7767,81,649,28809,4939730,claude-haiku-4-5-20251001,10,5,150,48,,2026-09-15T17:44:42
